"Duplications","5' breakpoint","3' breakpoint","Duplicated region","Duplication length - bp","Partially duplicated molecule length - bp","Duplicates replication origin","Location of the duplicated region","Truncated or fused proteins","Single mtDNA deletions","Multiple mtDNA deletions","Healthy tissues","Parkinson Disease","Inclusion Body Myositis","Tumour","Other clinical features","References"
"307:16189","307","16189","16189:307","688","17257","None","Duplicating part of major arc","Control Region","","","","","","","Sun-exposed skin","[31]"
"459:16184","459","16184","16184:459","845","17414","OH","Duplicating part of minor and (...)","Control Region","","","","","","","Sun-exposed skin","[31]"
"463:314","463","314","314:463","150","16719","OH","Duplicating part of minor and (...)","Control Region","","","","","","","Sun-exposed skin","[31]"
"469:314","469","314","314:469","156","16725","OH","Duplicating part of minor and (...)","Control Region","PEO","","Control","","","","","[8]"
"493:301","493","301","301:493","193","16762","OH","Duplicating part of minor and (...)","Control Region","","Mitochondrial myopathy","Aged tissues; control","","","","","[10; 11; 18]"
"498:306","498","306","306:498","193","16762","OH","Duplicating part of minor and (...)","Control Region","PEO","","Control","","","","","[8]"
"498:308","498","308","308:498","191","16760","OH","Duplicating part of minor and (...)","Control Region","","","","","","","Sun-exposed skin","[31; 32]"
"498:16189","498","16189","16189:498","879","17448","OH","Duplicating part of minor and (...)","Control Region","","","","","","","Sun-exposed skin","[31]"
"563:360","563","360","360:563","204","16773","OH","Duplicating part of minor and (...)","Control Region","","","","","","","Muscular exercise intolerance;(...)","[2; 31; 32]"
"567:301","567","301","301:567","267","16836","OH","Duplicating part of minor and (...)","Control Region","","","Aged tissues","","","","","[18]"
"571:16263","571","16263","16263:571","878","17447","OH","Duplicating part of minor and (...)","Control Region","","","","","","","Sun-exposed skin","[31]"
"573:309","573","309","309:573","265","16834","OH","Duplicating part of minor and (...)","Control Region","","Mitochondrial myopathy","Control","","","","Sun-exposed skin","[6; 10; 11; 30; 31; 32]"
"573:316","573","316","316:573","258","16827","OH","Duplicating part of minor and (...)","Control Region","PEO","","Control","","","","","[8]"
"965:315","965","315","315:965","651","17220","OH","Duplicating part of minor and (...)","RNR1/Control Region","PEO","","Control","","","","Exercise intolerance; Sun-expo(...)","[8; 21; 31; 32]"
"2059:16071","2059","16071","16071:2059","2558","19127","OH","Duplicating part of minor and (...)","RNR2/Control Region","","","Aged tissues","","","","","[1]"
